"URN","Alignment","Text-Deformation1","Analysis"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.1.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΕΛ[1]","Ἑλ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.1.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΛΑΣ[1]","λας","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.2.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΜΕΝ[1]","μἐν","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.2.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΠΟΩ[1]","πρω","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.3.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΤΕΙ[1]","τεῖ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.3.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@Α[1]","α","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.3.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΤΕ[1]","τέ","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.4.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΧΝΗΣ[1]","χνης","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.4.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΑΥΛ[1]","ἀυλ","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.5.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΩΝ[1]","ῶν","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.5.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΑΠ[1]","ἀπ","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.5.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@Ε[1]","έ","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.6.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΝΕΙ[1]","νει","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:1.1.6.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:1@ΜΕΝ[2]","μεν","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.1.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΘΗ[1]","Θη","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.1.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΒΑΙ[1]","βαί","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.2.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΩΙ[1]","ωι","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.2.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΠΟΤ[1]","Ποτ","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.2.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@Α[2]","ά","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.3.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΜΩ[1]","μω","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.3.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΝΙ[1]","νι","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.3.3","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΤΑ[1]","τά","⏑"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.4.1","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΦΟΣ[1]","φος","—"
"urn:cts:ceg:ceg.509.TempTexts-ed-2013-3:2.1.4.2","urn:cts:ceg:ceg.509.TempTexts-ed-2013-3.dipl:2@ΔΟ[1]","δ'ὅ","⏑"
